"ID","NAME","COUNTRY","SUBREGION","LOCATION","YEAR","ADJ_TOTAL_DAMAGE"
"2003-0468-USA","Isabel","United States of America","Northern America","North Carolina, Maryland, Virginia, West Virginia, Delaware, Pennsylvania, New Jersey, District of Columbia provinces",2003,5581.942
"2003-0474-MEX","Marty","Mexico","Latin America and the Caribbean","Sonora, Sinaloa, Nayarit, Jalisco, Colima, Baja California Sur, Baja California provinces",2003,165.636
"2003-0487-CAN","Juan","Canada","Northern America","Nova Scotia, Prince Edward Island provinces",2003,182.2
"2003-0599-DOM","Odette","Dominican Republic","Latin America and the Caribbean","Barahona, Pedernales, Baoruco provinces",2003,NA
"2003-0599-PRI","Odette","Puerto Rico","Latin America and the Caribbean","Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",2003,NA
"2003-0688-MEX","Ignacio","Mexico","Latin America and the Caribbean","La Paz, Agua Escondida areas (La Paz district, Baja California Sur province), Ciudad Constitucion area (Comondu district, Baja California Sur province)",2003,NA
"2003-0782-USA","Bill","United States of America","Northern America","Orleans, St. John the Baptist, Terrebonne, St. Tammany, Tangipahoa districts (Louisiana province), Hancock, Harrison, Jackson, Pike, Walthall districts (Mississippi province), Bay district (Florida province), Mobile, Baldwin, Lee districts (Alabama province), Sumter, Bulloch, Fulton, DeKalb, Cobb, Clayton, Gwinnett districts (Georgia province), Wake district (North Carolina province)",2003,82.818
"2004-0131-BRA","Catarina","Brazil","Latin America and the Caribbean","Torres district (Rio Grande do Sul province), Ararangua district (Santa Catarina province)",2004,564.611
"2004-0415-CUB","Charley","Cuba","Latin America and the Caribbean","La Habana, Pinar del Rio, Cienfuegos, Ciudad De La Habana, Isla De La Juventud provinces",2004,1613.174
"2004-0415-CYM","Charley","Cayman Islands","Latin America and the Caribbean","Grand Cayman province",2004,8.066
"2004-0415-JAM","Charley","Jamaica","Latin America and the Caribbean","Saint Elizabeth province",2004,483.952
"2004-0415-USA","Charley","United States of America","Northern America","Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), South Carolina, North Carolina provinces",2004,25810.787
